test_id,model,startTimestamp,endTimestamp,dataset,datasetSize,threads,graphElapsedTime,tsElapsedTime,elapsedTime,storage
85577797-b2f8-49f2-857c-f55019f7398e,stgraph,1756395079,1756395191,smartbench,small,1,31220,81038,112258,2344
85577797-b2f8-49f2-857c-f55019f7398e,stgraph,1756395201,1756395302,smartbench,small,1,15966,85397,101363,3727
85577797-b2f8-49f2-857c-f55019f7398e,stgraph,1756395315,1756395412,smartbench,small,1,17673,80053,97726,5092
85577797-b2f8-49f2-857c-f55019f7398e,stgraph,1756395425,1756395525,smartbench,small,1,15936,83590,99526,6475
85577797-b2f8-49f2-857c-f55019f7398e,stgraph,1756395536,1756395640,smartbench,small,1,15920,88006,103926,7859
728ff2d1-02e7-40e7-912a-e496b430995e,stgraph,1756396465,1756396600,smartbench,small,2,68252,66680,134932,2247
728ff2d1-02e7-40e7-912a-e496b430995e,stgraph,1756396610,1756396714,smartbench,small,2,15955,87141,103096,3682
728ff2d1-02e7-40e7-912a-e496b430995e,stgraph,1756396724,1756396819,smartbench,small,2,15981,79828,95809,5066
728ff2d1-02e7-40e7-912a-e496b430995e,stgraph,1756396829,1756396932,smartbench,small,2,15682,87305,102987,6461
728ff2d1-02e7-40e7-912a-e496b430995e,stgraph,1756396945,1756397035,smartbench,small,2,15777,74006,89783,7734
c7aab69a-88f9-4749-8f1a-29127666029e,stgraph,1756397488,1756397629,smartbench,small,4,63085,78119,141204,1766
c7aab69a-88f9-4749-8f1a-29127666029e,stgraph,1756397649,1756397742,smartbench,small,4,20004,72899,92903,3078
c7aab69a-88f9-4749-8f1a-29127666029e,stgraph,1756397759,1756397854,smartbench,small,4,17962,77451,95413,4419
c7aab69a-88f9-4749-8f1a-29127666029e,stgraph,1756397867,1756397957,smartbench,small,4,17672,72120,89792,2955
c7aab69a-88f9-4749-8f1a-29127666029e,stgraph,1756397967,1756398055,smartbench,small,4,17761,69886,87647,4310
f0b576fe-e47a-4419-a232-01a4360c8784,stgraph,1756398348,1756398491,smartbench,small,6,73305,69741,143046,2081
f0b576fe-e47a-4419-a232-01a4360c8784,stgraph,1756398501,1756398583,smartbench,small,6,15716,66338,82054,3154
f0b576fe-e47a-4419-a232-01a4360c8784,stgraph,1756398596,1756398684,smartbench,small,6,18124,69361,87485,4501
f0b576fe-e47a-4419-a232-01a4360c8784,stgraph,1756398696,1756398781,smartbench,small,6,15656,69167,84823,3032
f0b576fe-e47a-4419-a232-01a4360c8784,stgraph,1756398793,1756398876,smartbench,small,6,17174,65979,83153,4478
9c40387f-e5cf-4421-8b68-c8fa837a7538,stgraph,1756399118,1756399250,smartbench,small,8,73725,58635,132360,1628
9c40387f-e5cf-4421-8b68-c8fa837a7538,stgraph,1756399261,1756399336,smartbench,small,8,17822,57197,75019,3211
9c40387f-e5cf-4421-8b68-c8fa837a7538,stgraph,1756399345,1756399424,smartbench,small,8,17851,61353,79204,4322
9c40387f-e5cf-4421-8b68-c8fa837a7538,stgraph,1756399437,1756399512,smartbench,small,8,17899,57744,75643,5668
9c40387f-e5cf-4421-8b68-c8fa837a7538,stgraph,1756399523,1756399599,smartbench,small,8,17728,58738,76466,7083
5e9c6b48-d7ee-4d9e-9018-bb0c61f11324,stgraph,1756399832,1756399909,smartbench,small,10,19221,57964,77185,4264
