test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines
73a86b85-5f5e-4757-88b1-67f7d530fd25,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,36,10,1
73a86b85-5f5e-4757-88b1-67f7d530fd25,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2860,100,1
73a86b85-5f5e-4757-88b1-67f7d530fd25,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,2105,100,1
73a86b85-5f5e-4757-88b1-67f7d530fd25,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,2145,8,1
73a86b85-5f5e-4757-88b1-67f7d530fd25,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,4050,100,1
73a86b85-5f5e-4757-88b1-67f7d530fd25,stgraph,smartbench,small,1,AgentHistory,edgesDirection,22,1,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,2,10,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2220,100,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1813,100,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1804,8,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3938,100,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,stgraph,smartbench,small,1,AgentHistory,edgesDirection,20,1,1
454e5b6e-ed70-4d67-8c99-96cab0622086,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
454e5b6e-ed70-4d67-8c99-96cab0622086,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2049,100,1
454e5b6e-ed70-4d67-8c99-96cab0622086,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1735,100,1
454e5b6e-ed70-4d67-8c99-96cab0622086,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1824,8,1
454e5b6e-ed70-4d67-8c99-96cab0622086,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3938,100,1
454e5b6e-ed70-4d67-8c99-96cab0622086,stgraph,smartbench,small,1,AgentHistory,edgesDirection,20,1,1
71d16578-6a72-4668-83b2-5ce2b1888184,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
71d16578-6a72-4668-83b2-5ce2b1888184,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2024,100,1
71d16578-6a72-4668-83b2-5ce2b1888184,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1641,100,1
71d16578-6a72-4668-83b2-5ce2b1888184,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1767,8,1
71d16578-6a72-4668-83b2-5ce2b1888184,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3840,100,1
71d16578-6a72-4668-83b2-5ce2b1888184,stgraph,smartbench,small,1,AgentHistory,edgesDirection,19,1,1
573e1a42-3bc4-42c6-826b-9efe4c8a3235,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
573e1a42-3bc4-42c6-826b-9efe4c8a3235,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1917,100,1
573e1a42-3bc4-42c6-826b-9efe4c8a3235,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1637,100,1
573e1a42-3bc4-42c6-826b-9efe4c8a3235,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1859,8,1
573e1a42-3bc4-42c6-826b-9efe4c8a3235,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3819,100,1
573e1a42-3bc4-42c6-826b-9efe4c8a3235,stgraph,smartbench,small,1,AgentHistory,edgesDirection,18,1,1
84d5d028-09f5-4525-9189-6a3f9ecae75d,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
84d5d028-09f5-4525-9189-6a3f9ecae75d,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1906,100,1
84d5d028-09f5-4525-9189-6a3f9ecae75d,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1686,100,1
84d5d028-09f5-4525-9189-6a3f9ecae75d,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1775,8,1
84d5d028-09f5-4525-9189-6a3f9ecae75d,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3889,100,1
84d5d028-09f5-4525-9189-6a3f9ecae75d,stgraph,smartbench,small,1,AgentHistory,edgesDirection,18,1,1
a5c4e974-8388-4c0c-9a81-ae6249cd4857,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,0,10,1
a5c4e974-8388-4c0c-9a81-ae6249cd4857,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2052,100,1
a5c4e974-8388-4c0c-9a81-ae6249cd4857,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1665,100,1
a5c4e974-8388-4c0c-9a81-ae6249cd4857,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1790,8,1
a5c4e974-8388-4c0c-9a81-ae6249cd4857,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3965,100,1
a5c4e974-8388-4c0c-9a81-ae6249cd4857,stgraph,smartbench,small,1,AgentHistory,edgesDirection,21,1,1
2a79f66c-8f24-48da-8c6b-98d7e67d0c18,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
2a79f66c-8f24-48da-8c6b-98d7e67d0c18,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1981,100,1
2a79f66c-8f24-48da-8c6b-98d7e67d0c18,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1639,100,1
2a79f66c-8f24-48da-8c6b-98d7e67d0c18,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1687,8,1
2a79f66c-8f24-48da-8c6b-98d7e67d0c18,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3842,100,1
2a79f66c-8f24-48da-8c6b-98d7e67d0c18,stgraph,smartbench,small,1,AgentHistory,edgesDirection,23,1,1
8dfd1b86-0130-4d31-aa73-eab81625f6de,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
8dfd1b86-0130-4d31-aa73-eab81625f6de,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1940,100,1
8dfd1b86-0130-4d31-aa73-eab81625f6de,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1630,100,1
8dfd1b86-0130-4d31-aa73-eab81625f6de,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1682,8,1
8dfd1b86-0130-4d31-aa73-eab81625f6de,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3873,100,1
8dfd1b86-0130-4d31-aa73-eab81625f6de,stgraph,smartbench,small,1,AgentHistory,edgesDirection,21,1,1
f3b6f0df-aa53-4e19-bbd8-2bc8a25f8df0,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
f3b6f0df-aa53-4e19-bbd8-2bc8a25f8df0,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2084,100,1
f3b6f0df-aa53-4e19-bbd8-2bc8a25f8df0,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1755,100,1
f3b6f0df-aa53-4e19-bbd8-2bc8a25f8df0,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1776,8,1
f3b6f0df-aa53-4e19-bbd8-2bc8a25f8df0,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,4001,100,1
f3b6f0df-aa53-4e19-bbd8-2bc8a25f8df0,stgraph,smartbench,small,1,AgentHistory,edgesDirection,23,1,1
b05fa677-715c-45ad-9aa7-eb156c2ac695,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
b05fa677-715c-45ad-9aa7-eb156c2ac695,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1958,100,1
b05fa677-715c-45ad-9aa7-eb156c2ac695,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1587,100,1
b05fa677-715c-45ad-9aa7-eb156c2ac695,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1762,8,1
b05fa677-715c-45ad-9aa7-eb156c2ac695,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3712,100,1
b05fa677-715c-45ad-9aa7-eb156c2ac695,stgraph,smartbench,small,1,AgentHistory,edgesDirection,20,1,1
1c794984-a43a-4cf5-ab7f-94bd81ae4489,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
1c794984-a43a-4cf5-ab7f-94bd81ae4489,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1965,100,1
1c794984-a43a-4cf5-ab7f-94bd81ae4489,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1595,100,1
1c794984-a43a-4cf5-ab7f-94bd81ae4489,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1699,8,1
1c794984-a43a-4cf5-ab7f-94bd81ae4489,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3661,100,1
1c794984-a43a-4cf5-ab7f-94bd81ae4489,stgraph,smartbench,small,1,AgentHistory,edgesDirection,17,1,1
63f43c05-9ff6-4356-ad3f-13ade98c3c56,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
63f43c05-9ff6-4356-ad3f-13ade98c3c56,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1891,100,1
63f43c05-9ff6-4356-ad3f-13ade98c3c56,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1654,100,1
63f43c05-9ff6-4356-ad3f-13ade98c3c56,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1667,8,1
63f43c05-9ff6-4356-ad3f-13ade98c3c56,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3769,100,1
63f43c05-9ff6-4356-ad3f-13ade98c3c56,stgraph,smartbench,small,1,AgentHistory,edgesDirection,17,1,1
90dde7f4-5855-41cf-a0f6-c307104c09a5,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
90dde7f4-5855-41cf-a0f6-c307104c09a5,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1878,100,1
90dde7f4-5855-41cf-a0f6-c307104c09a5,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1700,100,1
90dde7f4-5855-41cf-a0f6-c307104c09a5,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1654,8,1
90dde7f4-5855-41cf-a0f6-c307104c09a5,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3663,100,1
90dde7f4-5855-41cf-a0f6-c307104c09a5,stgraph,smartbench,small,1,AgentHistory,edgesDirection,21,1,1
17745db4-fed8-4d0d-ad65-23f8f124b9d0,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
17745db4-fed8-4d0d-ad65-23f8f124b9d0,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1952,100,1
17745db4-fed8-4d0d-ad65-23f8f124b9d0,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1639,100,1
17745db4-fed8-4d0d-ad65-23f8f124b9d0,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1623,8,1
17745db4-fed8-4d0d-ad65-23f8f124b9d0,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3719,100,1
17745db4-fed8-4d0d-ad65-23f8f124b9d0,stgraph,smartbench,small,1,AgentHistory,edgesDirection,20,1,1
7255527b-a199-4351-9da1-2db9dd6022f0,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
7255527b-a199-4351-9da1-2db9dd6022f0,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1942,100,1
7255527b-a199-4351-9da1-2db9dd6022f0,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1650,100,1
7255527b-a199-4351-9da1-2db9dd6022f0,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1540,8,1
7255527b-a199-4351-9da1-2db9dd6022f0,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3679,100,1
7255527b-a199-4351-9da1-2db9dd6022f0,stgraph,smartbench,small,1,AgentHistory,edgesDirection,19,1,1
0eb638b4-cb34-40d7-a201-985ac833517d,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
0eb638b4-cb34-40d7-a201-985ac833517d,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1919,100,1
0eb638b4-cb34-40d7-a201-985ac833517d,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1593,100,1
0eb638b4-cb34-40d7-a201-985ac833517d,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1658,8,1
0eb638b4-cb34-40d7-a201-985ac833517d,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3579,100,1
0eb638b4-cb34-40d7-a201-985ac833517d,stgraph,smartbench,small,1,AgentHistory,edgesDirection,22,1,1
bedfd0f4-4143-46d0-9f3e-afd2cc68cee9,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
bedfd0f4-4143-46d0-9f3e-afd2cc68cee9,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1856,100,1
bedfd0f4-4143-46d0-9f3e-afd2cc68cee9,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1571,100,1
bedfd0f4-4143-46d0-9f3e-afd2cc68cee9,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1611,8,1
bedfd0f4-4143-46d0-9f3e-afd2cc68cee9,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3626,100,1
bedfd0f4-4143-46d0-9f3e-afd2cc68cee9,stgraph,smartbench,small,1,AgentHistory,edgesDirection,15,1,1
b402c658-34f4-4192-8ca7-8780e36d69a7,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
b402c658-34f4-4192-8ca7-8780e36d69a7,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1887,100,1
b402c658-34f4-4192-8ca7-8780e36d69a7,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1521,100,1
